"ID","SO_HOP_DONG","NGAY_KY","NGAY_HIEU_LUC","NGAY_KET_THUC","SO_PHU_LUC","ISACTIVE","GHI_CHU"
19258,"1051/HĐ-VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19240,"1053/HĐ - VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19241,"1054/HĐ - VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,"PL gia hạn 2017"
19259,"1055/HĐ - VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,""
19242,"1058/HĐ - VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,""
19243,"1059/HĐ - VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,""
19260,"1060/HĐ - VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,""
19261,"1061/HĐ-VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,""
19191,"1064/HĐ-VMS4",26-06-2018,01-01-2018,31-12-2018,"02",2,"Gia hạn hết hạn 2017 "
19253,"1065/HĐ-VMS4",26-06-2018,01-01-2018,31-12-2018,"02",2,"Gia hạn hết hạn 2017 "
19196,"1067/HĐ-VMS4",26-06-2018,01-01-2018,31-12-2018,"02",2,"Gia hạn hết hạn 2017 "
19205,"1068/HĐ-VMS4",26-06-2018,01-01-2018,,"02",2,"Gia hạn hết hạn 2017 "
19244,"1069/HĐ - VMS4",09-01-2018,01-01-2018,31-12-2018,"09",2,""
19252,"1070/HĐ-VMS4",26-06-2018,01-01-2017,31-12-2018,"02",2,"Gia hạn hết hạn 2017 "
18772,"1154/HĐ",23-08-2017,01-07-2017,23-08-2017,"Số: 09/PLHĐ",2,"Thanh Lý trạm Bình Chánh 4"
21995,"12-2017/MLMN-Mts.,Jsc",22-10-2021,01-01-2022,31-12-2026,"PL03-12-2017/MLMN-Mts.,jsc",2,""
19656,"144A/HĐ.2018/MLMN-MKT",07-01-2019,07-01-2019,,"47",2,""
18771,"186/HĐ-VMS4",12-03-2018,01-10-2017,31-12-2018,"PLHĐ 03",2,"Dùng chung Vina trạm Mỹ Tú 2"
13202,"2196/HĐ",13-09-2012,01-09-2012,,"PL001",2,""
12561,"2197/HĐ",31-08-2011,01-03-2011,04-08-2018,"2197-1/plhd",2,""
13208,"2197/HĐ",13-09-2012,01-09-2012,,"PL001",2,""
21532,"2198/HĐ",20-05-2021,01-07-2021,30-06-2026,"PL 208/PLHĐ-55/2021",2,""
20829,"2198/HĐ",14-04-2020,14-04-2020,,"1908/PLHD-55",1,""
20814,"2198/HĐ",27-07-2020,01-07-2020,30-06-2021,"207/PLHĐ-55/2020",1,""
20613,"2198/HĐ",14-04-2020,01-01-2020,30-06-2020,"1908/PLHD-55",1,""
20237,"2198/HĐ",15-02-2019,01-01-2019,31-01-2019,"1502/PLHĐ",1,""
20236,"2198/HĐ",19-07-2019,01-07-2019,30-06-2020,"196/PLHĐ-55/2019",1,""
20017,"2198/HĐ",31-10-2018,22-07-2018,30-06-2019,"103/PLHĐ-55/2018",1,""
14326,"2198/HĐ",01-07-2013,01-07-2013,18-12-2017,"01/PLHĐ",1,"Điều chỉnh giảm số trạm từ 10 trạm xuống còn 09 trạm do hủy trạm 07BCH28"
13093,"2198/HĐ",05-09-2008,05-09-2008,,"1140/PLHĐ",1,"Giá thuê cụ thể từng trạm"
13092,"2198/HĐ",18-12-2007,18-12-2007,04-09-2008,"000000",1,"Phu luc dau tien cua HD"
13201,"2198/HĐ",13-09-2012,01-09-2012,,"PL001",1,""
13211,"2201/HĐ",14-09-2012,01-09-2012,,"PL001",2,""
19472,"230/HĐ - VMS4",29-10-2018,01-08-2018,31-12-2018,"2910/MLMN-TELECOM-CABLE",2,""
19492,"231/HĐ - VMS4",29-10-2018,01-08-2018,31-12-2018,"2910/MLMN-TELECOM-CABLE",2,""
19473,"232/HĐ - VMS4",29-10-2018,01-08-2018,31-12-2018,"2910/MLMN-TELECOM-CABLE",2,""
19474,"233/HĐ - VMS4",29-10-2018,01-08-2018,31-12-2018,"2910/MLMN-TELECOM-CABLE",2,""
18329,"239/HĐ-VMS4",26-06-2017,01-07-2017,,"Số: 02/PLHĐ",2,"Cung cấp dịch vụ cho thuê và vận hành máy phát điện"
17669,"239/HĐ-VMS4",08-04-2016,08-04-2016,,"0804/PLHĐ/VNC-55",2,"Điều chỉnh giảm giá trạm Hòa Thành của HĐ 239"
18349,"240/HĐ-VMS4",26-06-2017,01-07-2017,,"Số: 02/PLHĐ",2,"Cung cấp dịch vụ cho thuê và vận hành máy phát điện"
20504,"2410/MLMN - CADICOM",07-10-2019,01-01-2020,31-12-2021,"PL01-2410/MLMN-CADICOM",2,"PL gia hạn"
18330,"258/HĐ-VMS4",26-06-2017,01-07-2017,,"Số : 03/PLHĐ",2,"Cung cấp dịch vụ cho thuê và vận hành máy phát diện "
18350,"275/HĐ-VMS4",26-06-2017,01-07-2017,,"Số: 02/PLHĐ",2,"Cung cấp cho thuê và vận hành máy phát điện"
19115,"3112/MLMN-CADICOM",31-12-2017,01-01-2018,31-12-2018,"3112",2,"LTC bán Cadicom"
14468,"329/VMS2/KTKT",16-11-2013,16-11-2013,29-10-2014,"07/PLHĐ/SPN - VMS/2013",1,"Phụ lục thay đổi tên công ty SPN"
19223,"346/HĐ-VMS4",26-06-2018,01-12-2017,31-12-2018,"02",2,"Gia hạn hết hạn 2017 "
19195,"347/HĐ-VMS4",26-06-2018,03-10-2017,31-12-2018,"02",2,"Gia hạn hết hạn 2017 "
19197,"348/HĐ-VMS4",26-06-2018,01-11-2017,31-12-2018,"02",2,"Gia hạn hết hạn 2017 "
19221,"349/HĐ-VMS4",26-06-2018,16-10-2017,31-12-2018,"02",2,"Gia hạn hết hạn 2017 "
19214,"350/HĐ-VMS4",26-06-2018,01-11-2017,31-12-2018,"02",2,"Gia hạn hết hạn 2017 "
19192,"351/HĐ-VMS4",26-06-2018,03-10-2017,31-12-2018,"02",2,"Gia hạn hết hạn 2017 "
